,ell,TT_out,EE_out,BB_out,TT_in,EE_in,BB_in,wl_TT,wl_EE,wl_BB
0,2,1.6133976920002328e-07,0.0,0.0,1.2065089273947756e-09,0.0,0.0,1.0,1.0004395666220007,1.0004395666220007
1,3,4.35181276229358e-07,0.0,0.0,4.1648719499576953e-10,0.0,0.0,0.9997802891195241,1.0002197591639552,1.0002197591639552
2,4,163.48033010909967,0.008310961618562717,0.00015180959271738855,162.90736242700274,0.008280980031447586,0.0001511237703322812,0.9993410121665792,0.9997802891195241,0.9997802891195241
3,5,350.95178266072264,0.007605030261751669,1.551886198295534e-05,349.75409542500694,0.007580318765051384,1.545362343643771e-05,0.9986824585981231,0.9991214460729004,0.9991214460729004
4,6,21.99517926548112,0.007154763095806042,3.036867054807588e-05,21.920280128521977,0.007131095558417723,3.0181304651460358e-05,0.9978050622021962,0.9982436640028036,0.9982436640028036
5,7,80.30896919283684,0.0029786371050953735,8.916354099480519e-06,80.03229972367116,0.002967727035495875,8.910691781183438e-06,0.9967094006217316,0.9971475208060793,0.9971475208060793
6,8,80.5613758849773,0.001462544156641906,2.9279012571197236e-06,80.28571787807017,0.0014579660398426882,2.9434641807603657e-06,0.9953961947207726,0.9958337376636384,0.9958337376636384
7,9,50.6865251475165,0.0005696087895187849,6.9856666808391735e-06,50.51331883842147,0.0005674162265914544,6.901195896856276e-06,0.993866307794073,0.9943031782497104,0.9943031782497104
8,10,51.75585618915095,0.0006379797198186825,2.3159717498083475e-06,51.57854601605369,0.0006357695382241372,2.295238687430032e-06,0.9921207446212937,0.9925568477856238,0.9925568477856238
9,11,56.660094535796645,0.0003018701088536351,8.703368739442539e-07,56.46678968852265,0.00030078720960056765,8.715069616789865e-07,0.990160650367244,0.990595891939564,0.990595891939564
10,12,32.43344576742724,0.00020890295586679542,2.3015654191799286e-06,32.323563274266185,0.0002078303318933381,2.302398886888809e-06,0.987987309329855,0.9884215955739968,0.9884215955739968
11,13,28.162282587189726,0.00013079817394387873,1.2998477639393066e-06,28.067886563175986,0.00013024828646077984,1.2943744722753058e-06,0.9856021435378,0.9860353813426715,0.9860353813426715
12,14,17.42414250737142,0.00011126158161450943,9.519052423664099e-07,17.364716423269122,0.00011093576207604099,9.465753916356118e-07,0.9830067111999062,0.9834388081393525,0.9834388081393525
13,15,26.768277401894004,6.58305706378573e-05,1.0770287650835614e-06,26.67738562530146,6.567279670949652e-05,1.0650684868465334e-06,0.9802027050087242,0.9806335694006408,0.9806335694006408
14,16,9.946266047604524,5.039119635523685e-05,1.5767478976500108e-06,9.91279875673677,5.024062918650483e-05,1.5689901038551066e-06,0.97719195030084,0.9776214912654801,0.9776214912654801
15,17,12.55120568015881,6.092064193299847e-05,1.4704662689753682e-06,12.509044204064198,6.066190428289316e-05,1.4674155262165591e-06,0.9739764030767313,0.9744045305941401,0.9744045305941401
16,18,14.546639497905455,4.2189752475239594e-05,1.1040398634998282e-06,14.498589551985342,4.206854211551417e-05,1.0933383257092056e-06,0.9705581478831701,0.9709847728496903,0.9709847728496903
17,19,7.759259628285638,3.971960825263171e-05,8.79835541555835e-07,7.733497749900289,3.9517427529539306e-05,8.721915762643015e-07,0.9669393955613861,0.9673644298451725,0.9673644298451725
18,20,16.95527962962028,6.864664574730111e-05,1.0948628074459463e-06,16.89992735114645,6.837775464480543e-05,1.0871916877910548e-06,0.9631224808643912,0.9635458373598778,0.9635458373598778
19,21,10.653869910513736,6.190988660497682e-05,7.800281132562802e-07,10.618722492675829,6.165199603330184e-05,7.783364056630145e-07,0.9591098599470628,0.9595314526283273,0.9595314526283273
20,22,12.001484968430313,6.818655794567336e-05,7.393037526564436e-07,11.962101730866275,6.791508579100066e-05,7.349596521571555e-07,0.9549041077327595,0.9553238517057302,0.9553238517057302
21,23,6.944997297253827,5.06433214404684e-05,8.338271348869784e-07,6.921511444856238,5.0502076314854804e-05,8.340756095667034e-07,0.9505079151604234,0.9509257267138754,0.9509257267138754
22,24,7.627336181442861,7.37174655445234e-05,9.077306093995094e-07,7.60300361748021,7.355957376660808e-05,9.044447453850823e-07,0.9459240863162863,0.9463398829715775,0.9463398829715775
23,25,5.809467868820187,6.175190415268412e-05,7.528437376962596e-07,5.791021138862458,6.158590331724391e-05,7.459446005206755e-07,0.941155535454458,0.9415692360139549,0.9415692360139549
24,26,6.4756705173838975,5.349499876550453e-05,1.15094657409338e-06,6.4551981181618805,5.3290211239229653e-05,1.1419247781856388e-06,0.9362052839108271,0.9366168085049751,0.9366168085049751
25,27,7.78438616981177,9.976615223134013e-05,7.686158269808315e-07,7.760510747776812,9.943143094217535e-05,7.710158620047435e-07,0.9310764569148471,0.9314857270478375,0.9314857270478375
26,28,5.069226540766996,7.802425433434125e-05,1.0262547307999662e-06,5.05329164158164,7.782647368213435e-05,1.0221283031872478e-06,0.925772280303912,0.9261792188979071,0.9261792188979071
27,29,6.174078504122956,7.235999135628804e-05,1.1896078163868e-06,6.155236736860893,7.21460838199793e-05,1.1803019295529315e-06,0.9202960771451567,0.9207006085830279,0.9207006085830279
28,30,4.9175977975829195,7.188304518234741e-05,1.1446163140923248e-06,4.902279941011506,7.164157540970219e-05,1.1485195279817202e-06,0.9146512642696263,0.91505331443617,0.91505331443617
