,cl_TT,cl_EE,cl_BB,cl_TE
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,305.12479609203456,0.01004750826269127,0.0,0.8177602307310333
3,192.69334674549833,0.009240326678820084,0.0,0.6282247653370026
4,130.18206593258174,0.0061901821406231345,0.0,0.43131358167101524
5,93.41434403800511,0.0033686574116389904,0.0,0.2820422798764031
6,70.38214574273084,0.0015732810034683586,0.0,0.18052271358712743
7,55.13257432598539,0.0006871918741716571,0.0,0.1152285397035005
8,44.52086879326022,0.00033509342296683437,0.0,0.07485993169130473
9,36.85783630317698,0.00021070741589790132,0.0,0.050586974418640455
10,31.136205443488425,0.00015481046487187774,0.0,0.03651390797918151
11,26.731450911617753,0.00011490359231547055,0.0,0.02867290625425538
12,23.29947480354227,8.495999682432214e-05,0.0,0.02448851727669615
13,20.53631144539418,6.678338495857302e-05,0.0,0.02217658537918952
14,18.279059353705367,5.820760104267592e-05,0.0,0.020634721251680525
15,16.39230706446799,5.473448478352244e-05,0.0,0.019439758649667415
16,14.829205163366627,5.291025870167612e-05,0.0,0.01847784814670549
17,13.519990453088672,5.235126008519046e-05,0.0,0.01761946363452424
18,12.39791289393325,5.324680413943951e-05,0.0,0.016807391949209518
19,11.439467451428902,5.58523903751832e-05,0.0,0.016084944069696308
20,10.595356970248295,5.997317712726489e-05,0.0,0.01538513567028185
21,9.85531812972465,6.501821317758299e-05,0.0,0.01478128010756677
22,9.203067456626801,7.063924191813223e-05,0.0,0.01427905755197558
23,8.621444642844638,7.65490952503023e-05,0.0,0.013844771495668123
24,8.103197743435521,8.261477967258746e-05,0.0,0.01344367432842101
25,7.6404653249112995,8.879794492346021e-05,0.0,0.013009120016997453
26,7.221792206153635,9.51027053999828e-05,0.0,0.012576770904298248
27,6.844527612322775,0.00010142699087603647,0.0,0.012141337938858666
28,6.502228946744476,0.00010759212497717459,0.0,0.011661334443515964
29,6.190133833300474,0.00011379973528379053,0.0,0.011178098456527267
30,5.905865266868063,0.00012023416581816638,0.0,0.010655876014389512
31,5.642799324970567,0.00012679994986797884,0.0,0.010163249726211205
32,5.4029892114012545,0.00013352016128892225,0.0,0.009670576046983629
33,5.181159083911353,0.00014016071651917192,0.0,0.009176592797450894
34,4.975360162553726,0.00014685325047190145,0.0,0.008694280064338481
35,4.786608695185891,0.00015361935795898634,0.0,0.008191194895846318
36,4.6092996700037485,0.00016054157351248668,0.0,0.007721685235447501
37,4.44454500220118,0.00016757006592939445,0.0,0.007254153733042199
38,4.2915545036020895,0.00017453086809380625,0.0,0.006791001988728901
39,4.148882789494239,0.00018141901792550534,0.0,0.006328283785768597
40,4.015343066805135,0.00018827259997582913,0.0,0.0058578036650928055
41,3.8898749025814676,0.0001951201635226535,0.0,0.005375858644193019
42,3.77181299608688,0.0002019720014749653,0.0,0.004890725260994026
43,3.660584142675953,0.00020883294217510342,0.0,0.0044107911781132115
44,3.555779537667426,0.0002157007078154627,0.0,0.003938371015178393
45,3.457063541861175,0.00022256549009918707,0.0,0.003474517729436662
46,3.3638622497219557,0.00022941187430594384,0.0,0.0030205087547015134
47,3.275712030675193,0.0002362294823029744,0.0,0.0025742818938303672
48,3.1921755926982223,0.00024299333367269367,0.0,0.002133263352840169
49,3.112895262799466,0.0002496806614042951,0.0,0.0016954160872162624
50,3.037699685078049,0.00025629777203840315,0.0,0.0012593045433333164
51,2.966432635721215,0.00026285222412909733,0.0,0.0008245156950979645
52,2.8987062156522847,0.00026934852198716447,0.0,0.00039343499836807616
53,2.8341342266325875,0.0002757834117211709,0.0,-3.16644281815067e-05
54,2.772473717656385,0.00028215577695981747,0.0,-0.00045053363105736525
55,2.713532034114887,0.0002884677017864419,0.0,-0.0008636822113348207
56,2.657345903760885,0.00029470822525114805,0.0,-0.0012725998050836245
57,2.6039195378430846,0.00030086532161460847,0.0,-0.001678016594016832
58,2.553000815611718,0.00030693194170295816,0.0,-0.0020792744919420135
59,2.5042873454406998,0.00031290344472207244,0.0,-0.0024753338377025095
60,2.4576149737563333,0.00031876410791367867,0.0,-0.0028646306105312015
61,2.412876049000658,0.0003245027851123759,0.0,-0.003246037919021401
62,2.369966934496188,0.0003301190478221009,0.0,-0.0036200024013060914
63,2.3288093753971104,0.00033561613681658953,0.0,-0.003987303495063158
64,2.289308385386172,0.00034099618261974104,0.0,-0.004348637213528917
65,2.2514062729452005,0.0003462644523301068,0.0,-0.004704717192234865
66,2.2150638910955873,0.00035141643161854343,0.0,-0.00505613628816396
67,2.1801698388786903,0.00035644638956071274,0.0,-0.005402133595296329
68,2.146599129538673,0.0003613452769179576,0.0,-0.0057417225369696505
69,2.114228133678967,0.0003661080754246371,0.0,-0.006074075404247423
70,2.0829615091595093,0.00037073150401795304,0.0,-0.006398700709076461
71,2.052720497913959,0.0003752159823967024,0.0,-0.006715550322730844
72,2.02358490400356,0.0003795631045650512,0.0,-0.007025861231531271
73,1.9956242578792072,0.00038377337969501747,0.0,-0.007330824580067132
74,1.968786939728943,0.00038784116517068696,0.0,-0.0076303726673336075
75,1.9430165053534618,0.0003917608934087377,0.0,-0.007924105717399226
76,1.9182129725999872,0.00039552581734207253,0.0,-0.00821160087893148
77,1.8942041646124976,0.00039913408082885104,0.0,-0.008491667892410418
78,1.870939619963758,0.0004025830963886038,0.0,-0.008764233939810876
79,1.8484285809177166,0.0004058715147195449,0.0,-0.009029527809838027
80,1.8266575134837422,0.0004089983973510811,0.0,-0.009287906619176067
81,1.8056148463814146,0.00041196300026216334,0.0,-0.00953949308396931
